,object_id,mjd,passband,flux,flux_err,detected
83347,44480,59825.26,2,14.499998999999999,1.635398,1
83348,44480,59825.2676,1,16.181202,2.2714790000000002,0
83349,44480,59825.2752,3,8.990507000000001,2.230986,0
83350,44480,59825.2862,4,9.099133,3.13517,0
83351,44480,59825.2971,5,-6.712306,7.200561,0
83352,44480,59839.2161,2,18.05629,1.7512020000000001,1
83353,44480,59839.2236,1,17.724220000000003,2.301891,0
83354,44480,59839.2313,3,10.942632000000001,2.10642,0
83355,44480,59839.2422,4,4.0879959999999995,2.661102,0
83356,44480,59839.2532,5,-37.306946,5.912333,1
83357,44480,59842.1987,2,16.796415,1.709122,1
83358,44480,59842.2064,1,14.552464,2.2814900000000002,1
83359,44480,59842.214,3,13.497310999999998,2.020785,0
83360,44480,59842.225,4,2.338894,2.492943,0
83361,44480,59842.2359,5,-0.347441,5.618458,0
83362,44480,59851.2006,0,0.392327,3.141757,0
83363,44480,59854.2089,2,15.565448000000002,1.564301,1
83364,44480,59854.2165,1,17.676878,2.144149,0
83365,44480,59854.2242,3,11.862625999999999,1.800504,0
83366,44480,59854.2351,4,10.448217999999999,2.113275,0
83367,44480,59854.2461,5,4.810283,4.039680000000001,0
83368,44480,59857.1879,2,18.141293,2.431317,1
83369,44480,59857.1956,1,22.017284,3.3782629999999996,0
83370,44480,59857.2032,3,11.586134,2.5350330000000003,0
83371,44480,59857.2141,4,4.667978,2.83718,0
83372,44480,59857.2251,5,3.9730019999999997,5.229472,0
83373,44480,59867.16,2,17.639381,1.6816779999999998,1
83374,44480,59867.1676,1,20.535967000000003,2.2686349999999997,1
83375,44480,59867.1753,3,9.947977,2.051723,0
83376,44480,59867.1862,4,6.167979,2.6639180000000002,0
83377,44480,59867.1971,5,3.821497,5.6226389999999995,0
83378,44480,59870.1521,2,13.704734,1.553579,1
83379,44480,59870.1597,1,17.224874,2.140578,1
83380,44480,59870.1673,3,9.84191,1.7252779999999999,1
83381,44480,59870.1782,4,9.166122999999999,1.940547,0
83382,44480,59870.1892,5,10.752061,4.102708,0
83383,44480,59873.1442,2,15.874623000000001,1.485335,1
83384,44480,59873.1519,1,17.502445,2.066615,1
83385,44480,59873.1595,3,10.880865,1.561277,1
83386,44480,59873.1704,4,9.206971000000001,1.823488,0
83387,44480,59873.1814,5,5.923351,3.892172,0
83388,44480,59874.1612,0,0.47914399999999996,2.498703,0
83389,44480,59875.1175,0,3.7625330000000003,2.876636,0
83390,44480,59876.116,0,3.02898,2.911263,0
83391,44480,59877.1178,0,-1.72724,2.554023,0
83392,44480,59878.1127,0,-0.557121,2.605901,0
83393,44480,59879.1104,0,-0.8818219999999999,2.664349,0
83394,44480,59880.1181,0,-0.7536010000000001,2.233724,0
83395,44480,59884.1292,2,18.723572,1.592886,1
83396,44480,59884.1368,1,18.294691,2.128581,1
83397,44480,59884.1444,3,8.166636,1.646349,1
83398,44480,59884.1554,4,3.944605,1.9221560000000002,0
83399,44480,59884.1663,5,2.633942,3.925673,0
83400,44480,59887.0951,2,-72.90306899999999,2.0796040000000002,1
83401,44480,59887.1027,1,-185.366837,2.993675,1
83402,44480,59887.1103,3,5.511948,2.146433,0
83403,44480,59887.1213,4,5.145194,2.42299,0
83404,44480,59887.1322,5,2.697322,4.815053,0
83405,44480,59896.0839,2,12.982644,1.613569,1
83406,44480,59896.0915,1,18.270536,2.204466,1
83407,44480,59896.0992,3,10.911241,1.983234,1
83408,44480,59896.1101,4,10.807205999999999,2.425467,0
83409,44480,59896.1211,5,0.512533,5.094817,0
83410,44480,59899.0854,2,12.774272,1.7776490000000003,1
83411,44480,59899.093,1,-172.645294,2.334782,1
83412,44480,59899.1007,3,-56.614502,2.398643,1
83413,44480,59899.1116,4,-0.941349,3.491111,0
